排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
677,-53,杨志茂,Yang Zhimao,58,中国-广东-东莞,China-Guangdong-Dongguan,先生,https://res.hurun.cn/default/icon_men.jpg,新世纪科教,New Century Science and Education,中国-广东-东莞,China-Guangdong-Dongguan,投资,Investments,夫妇,105.0,9%,1630.0,2021-10-27
677,-210,叶琼玖,Ye Qiongjiu,67,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/default/icon_men.jpg,同花顺,Hithink RoyalFlush,中国-浙江-杭州,China-Zhejiang-Hangzhou,软件,Software,未知,105.0,-13%,1630.0,2021-10-27
677,-210,张克强,Zhang Keqiang,61,中国-广东,China-Guangdong,先生,https://res.hurun.cn/photo/000422_Zhang_Keqiang.jpg,华美国际,Huamei,中国-广东-广州,China-Guangdong-Guangzhou,投资、房地产,"Investments, Real Estate",未知,105.0,-13%,1630.0,2021-10-27
677,352,郑红,Zheng Hong,71,,,先生,https://res.hurun.cn/default/icon_men.jpg,鸿远电子,Yuanliu Hongyuan,中国-北京,China-Beijing,电子元器件,Electronic Component,父女,105.0,91%,1630.0,2021-10-27
677,-300,朱兴良,Zhu Xingliang,62,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.cn/photo/000290_Zhu_Xingliang.jpg,金螳螂,Gold Mantis,中国-江苏-苏州,China-Jiangsu-Suzhou,建筑,Construction,未知,105.0,-28%,1630.0,2021-10-27
677,-82,朱一明,Zhu Yiming,49,,,先生,https://res.hurun.cn/photo/000901_Zhu_Yiming.jpg,兆易创新,GigaDevice Semiconductor,中国-北京,China-Beijing,芯片研发,Flash chip,未知,105.0,5%,1630.0,2021-10-27
699,529,蔡浩,Cai Hao,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,中信博,Arctec,中国-江苏-苏州,China-Jiangsu-Suzhou,光伏支架,Photovoltaic support,夫妇,100.0,122%,1550.0,2021-10-27
699,-73,曹克坚,Cao Kejian,59,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/photo/000828_Cao_Kejian.jpg,开山控股,KaiShan ,中国-浙江-衢州,China-Zhejiang-Zhangzhou,压缩机,Compressor ,未知,100.0,5%,1550.0,2021-10-27
699,New,陈世卿,Tony Chen Shih-Ching,72,中国-台湾-台北,China-Taiwan-Taipei,先生,https://res.hurun.cn/default/icon_men.jpg,大立光,Largan,中国-台湾-台北,China-Taiwan-Taipei,电子元件,Electronic Components,夫妇,100.0,New,1550.0,2021-10-27
699,New,陈仕荣,Chan Shirong,未知,中国-台湾,China-Taiwan,先生,https://res.hurun.cn/default/icon_men.jpg,丰泰,Feng Tay ,中国-台湾-斗六,China-Taiwan-Doo-Six,运动鞋,Apparel & Accessories,家族,100.0,New,1550.0,2021-10-27
699,225,程涌,Cheng Yong,47,中国-湖南-沅江,China-Hunan-Yujiang,先生,https://res.hurun.cn/default/icon_men.jpg,奥士康,Aoshikang,中国-广东-深圳,China-Guangdong-Shenzhen,高密度印制电路板,Electronic Components,夫妇,100.0,59%,1550.0,2021-10-27
699,New,褚健,Chu Jian,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,中控技术,Supcon Technology,中国-浙江-杭州,China-Zhejiang-Hangzhou,软件系统,SaaS,未知,100.0,New,1550.0,2021-10-27
699,New,范现国,Fan Xianguo,61,中国-河北-邢台,China-Hebei-Yuantai,先生,https://res.hurun.cn/default/icon_men.jpg,今麦郎,JML,中国-河北-邢台,China-Hebei-Yuantai,速食,Food & Beverage,父子,100.0,New,1550.0,2021-10-27
699,76,方同华,Fang Tonghua,58,中国-安徽-毫州,China - Anhui - Muzhou,先生,https://res.hurun.cn/default/icon_men.jpg,珍宝岛药业,ZBD,中国-黑龙江-鸡西,China-Heilongjiang-Chixi,医药,Pharmaceuticals,家族,100.0,33%,1550.0,2021-10-27
699,-360,高毅,Gao Yi,53,中国-湖南-常德,China-Hunan-Changde,先生,https://res.hurun.cn/default/icon_men.jpg,益丰药房,Yifeng Pharmacy,中国-湖南-长沙,China-Hunan-Changsha,医药零售,Pharmacy retail,未知,100.0,-38%,1550.0,2021-10-27
699,-73,侯昌财,Hou Changcai,65,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,源昌,Yuanchang ,中国-福建-厦门,China-Fujian-Xiamen,房地产,Real estate,未知,100.0,5%,1550.0,2021-10-27
699,1135,胡黎强,Hu Liqiang,45,,,先生,https://res.hurun.cn/default/icon_men.jpg,晶丰明源,Bright Power,中国-上海-浦东,China-Shanghai-Pudong,半导体,Semiconductor,夫妇,100.0,245%,1550.0,2021-10-27
699,New,孔维,Kong Wei,56,,,先生,https://res.hurun.cn/default/icon_men.jpg,百克生物,Bcht Biotechnology,中国-吉林-长春,China-Jilin-Changchun,疫苗,Vaccines,未知,100.0,New,1550.0,2021-10-27
699,-232,黎旭晖,Li Xuhui,53,中国-广东-广州,China-Guangdong-Guangzhou,女士,https://res.hurun.cn/default/icon_women.jpg,海天味业,Haitian,中国-广东-佛山,China-Guangdong-Foshan,调味品,Food Flavorings,未知,100.0,-17%,1550.0,2021-10-27
699,-104,李登海,Li Denghai,72,中国-山东-烟台,China-Shandong-Yantai,先生,https://res.hurun.cn/photo/000972_Li_Denghai.jpg,登海种业,Denghai Seeds ,中国-山东-烟台,China-Shandong-Yantai,农业,Agriculture ,未知,100.0,0%,1550.0,2021-10-27
699,172,李东生,Li Dongsheng,64,中国-广东-惠州,China-Guangdong-Huizhou,先生,https://res.hurun.cn/default/icon_men.jpg,TCL,TCL,中国-广东-惠州,China-Guangdong-Huizhou,家用电器及半导体产品,Household Appliances,未知,100.0,47%,1550.0,2021-10-27
699,New,李国宝,Li Kwok-po,82,伦敦,London,先生,https://res.hurun.cn/default/icon_men.jpg,东亚银行,BEA,中国-香港,China-Hong Kong,银行业,Banking,家族,100.0,New,1550.0,2021-10-27
699,-339,李金元,Li Jinyuan,63,中国-河北-沧州,China -Hebei- Luzhou,先生,https://res.hurun.cn/default/icon_men.jpg,天狮,Tiens,中国-天津,China-Tianjin,保健品,Healthcare,未知,100.0,-33%,1550.0,2021-10-27
699,New,李强,Li Qiang ,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,百雀羚,Pechion,中国-上海,China-Shanghai,化妆品,Cosmetic,未知,100.0,New,1550.0,2021-10-27
699,-431,李卫伟,Li Weiwei,44,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/default/icon_men.jpg,三七互娱,37 Interactive Entertainment,中国-安徽-芜湖,China-Anhui-Wuhu,网络游戏,Network game,未知,100.0,-50%,1550.0,2021-10-27
699,-41,李新炎,Li Xinyan,70,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,中国龙工,Lonking,中国-上海-松江,China-Shanghai-Songjiang,重型工程用车,Heavy construction vehicles,夫妇,100.0,11%,1550.0,2021-10-27
699,129,李胥兵,Li Xubing,未知,中国-浙江-台州,China-Zhejiang-Taizhou,先生,https://res.hurun.cn/default/icon_men.jpg,吉利,Geely ,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,Car manufacturing,未知,100.0,43%,1550.0,2021-10-27
699,-73,梁建坤,Liang Jiankun,60,,,先生,https://res.hurun.cn/default/icon_men.jpg,寒锐钴业,Hanrui Cobalt,中国-江苏-南京,China-Jiangsu-Nanjing,钴业,Cobalt ,父子,100.0,5%,1550.0,2021-10-27
699,21,梁耀铭,Liang Yaoming,57,,,先生,https://res.hurun.cn/default/icon_men.jpg,金域医学,Kingmed,中国-广东-深圳,China-Guangdong-Shenzhen,医学检测及病理诊断,Health Tech,未知,100.0,22%,1550.0,2021-10-27
699,-175,刘锋,Liu Feng,51,中国-山东,China-Shandong,先生,https://res.hurun.cn/default/icon_men.jpg,永锋,Yongfeng,中国-山东-济南,China-Shandong-Jinan,钢铁,Steel,夫妇,100.0,-9%,1550.0,2021-10-27
699,529,聂云宸,Nie Yunchen,30,,,先生,https://res.hurun.cn/default/icon_men.jpg,喜茶,Heytea,中国-广东-深圳,China-Guangdong-Shenzhen,餐饮,,未知,100.0,122%,1550.0,2021-10-27
699,423,秦庆平,Qin Qingping,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,金能科技,Jinneng,中国-山东-德州,China-Shandong-Texas,煤化工,Coal chemical industry,家族,100.0,100%,1550.0,2021-10-27
699,New,邱达强,Daniel Chiu Tat Jung,59,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,富地石油,Fortune Oil,中国-香港,China-Hong Kong,石油化工,Petrochemicals,未知,100.0,New,1550.0,2021-10-27
699,-297,邵晓峰,Shao Xiaofeng,56,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/default/icon_men.jpg,阿里系,Alibaba,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务 、金融科技,"E-commerce, fintech",未知,100.0,-26%,1550.0,2021-10-27
699,624,申东日,Shen Dongri,49,中国-黑龙江-绥化,China -Heilongjiang - Yuhua,先生,https://res.hurun.cn/default/icon_men.jpg,朗姿,Lancy,中国-北京,China-Beijing,服装,Apparel,家族,100.0,138%,1550.0,2021-10-27
699,-232,宋卫平,Song Weiping,63,中国-浙江-绍兴,China-Zhejiang-Shaoxing,先生,https://res.hurun.cn/default/icon_men.jpg,绿城,Greentown,中国-浙江-杭州,China-Zhejiang-Hangzhou,房地产,Real estate,夫妇,100.0,-17%,1550.0,2021-10-27
699,-104,苏萌,Su Meng,未知,中国-广东-湛江,China-Guangdong-Zhanjiang,先生,https://res.hurun.cn/default/icon_men.jpg,高德置地,Gold Tak Land,中国-广东-广州,China-Guangdong-Guangzhou,房地产,Real Estate,未知,100.0,0%,1550.0,2021-10-27
699,New,孙惠刚,Sun Huigang,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,万华化学,Wanhua,中国-山东-烟台,China-Shandong-Yantai,投资,Investments,未知,100.0,New,1550.0,2021-10-27
699,-104,孙勇坚,Sun Yongjian,55,,,先生,https://res.hurun.cn/default/icon_men.jpg,宝矿,bm,中国-上海-闸北,China-Shanghai-Zhabei,地产、贸易,"Real Estate, Steel trade",未知,100.0,0%,1550.0,2021-10-27
699,504,唐晔,Tang Ye,40,,,先生,https://res.hurun.cn/default/icon_men.jpg,柏楚电子,Friendess,中国-上海-闵行,China-Shanghai-Yihang,信息技术,Information technology ,未知,100.0,113%,1550.0,2021-10-27
699,-73,汪群斌,Wang Qunbin,52,,,先生,https://res.hurun.cn/photo/000435_Wang_Qunbin.jpg,复星,Fosun ,中国-上海-黄浦,China-Shanghai-Huangpu,投资,"Investments, pharmaceuticals",未知,100.0,5%,1550.0,2021-10-27
699,-284,王佳,Wang Jia,52,中国-云南-昆明,China-Yunnan-Kunming,先生,https://res.hurun.cn/default/icon_men.jpg,启明星辰,Venustech,中国-北京,China-Beijing,网络安全,Cyber Security,夫妇,100.0,-23%,1550.0,2021-10-27
699,-138,王明鎏,Wang Mingliu,38,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/default/icon_men.jpg,毛球科技,Tomorrow,中国-四川-成都,China-Sichuan-Chengdu,投资、区块链、游戏,"Investment,Blockchain,Game",未知,100.0,-5%,1550.0,2021-10-27
699,129,王铭祥,Wang Mingxiang,43,中国-江苏-南通,China-Jiangsu-Nantong,先生,https://res.hurun.cn/default/icon_men.jpg,东华能源,Oriental Energy ,中国-江苏-南京,China-Jiangsu-Nanjing,石油化工,Petrochemicals,夫妇,100.0,43%,1550.0,2021-10-27
699,New,王文渊,William Wang,74,中国-台湾-台北,China-Taiwan-Taipei,先生,https://res.hurun.cn/default/icon_men.jpg,台塑,Formosa Plastics,中国-台湾-高雄,China-Taiwan-Kaoxiong,化工,Chemicals,家族,100.0,New,1550.0,2021-10-27
699,-284,韦锦坤,Wei Jinkun,68,,,先生,https://res.hurun.cn/default/icon_men.jpg,泛微网络,E-cology,中国-上海-闵行,China-Shanghai-Yihang,计算机技术,Computer technology,父子,100.0,-23%,1550.0,2021-10-27
699,New,伍伟国,Michael Wu Wai Kwok,51,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,美心,Maxim's Caterers,中国-香港,China-Hong Kong,餐饮,Restaurants,家族,100.0,New,1550.0,2021-10-27
699,-284,许达来,Koh Tuck Lye,50,新加坡,Singapore,先生,https://res.hurun.cn/default/icon_men.jpg,小米,Xiaomi,中国-北京,China-Beijing,智能硬件与技术、投资,"IoT, Investments",未知,100.0,-23%,1550.0,2021-10-27
699,New,严陈莉莲,Yen Chen Lilian,56,中国-台湾,China-Taiwan,先生,https://res.hurun.cn/default/icon_men.jpg,裕隆,Yulon,中国-台湾-新北,China-Taiwan-New North,汽车,Automobile,家族,100.0,New,1550.0,2021-10-27
699,674,严俊旭,Yan Junxu,52,中国-上海,China-Shanghai,先生,https://res.hurun.cn/default/icon_men.jpg,天顺风能,Titan,中国-江苏-苏州,China-Jiangsu-Suzhou,风电设备、船舶设备,"Wind power equipment, marine equipment ",未知,100.0,150%,1550.0,2021-10-27
699,-284,杨贰珠,Yang Erzhu,63,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/default/icon_men.jpg,碧桂园,Country Garden,中国-广东-佛山,China-Guangdong-Foshan,房地产,Real Estate,未知,100.0,-23%,1550.0,2021-10-27
699,-104,杨浩涌,Yang Haoyong,47,中国-安徽-合肥,China-Anhui-Hefei,先生,https://res.hurun.cn/default/icon_men.jpg,车好多,Cars,中国-北京,China-Beijing,汽车服务,Automobile Service,未知,100.0,0%,1550.0,2021-10-27
699,182,姚俊良,Yao Junliang,68,,,先生,https://res.hurun.cn/default/icon_men.jpg,美锦能源,Meijing Energy,中国-山西-太原,China-Shanxi-Taiyuan,煤炭,Coal,未知,100.0,54%,1550.0,2021-10-27
699,-232,叶燕桥,Ye Yanqiao,52,中国-广东-广州,China-Guangdong-Guangzhou,先生,https://res.hurun.cn/default/icon_men.jpg,海天味业,Haitian,中国-广东-佛山,China-Guangdong-Foshan,调味品,Food Flavorings,未知,100.0,-17%,1550.0,2021-10-27
699,-284,易贤忠,Yi Xianzhong,62,中国-湖北,China - Hubei,先生,https://res.hurun.cn/default/icon_men.jpg,百奥泰,Bio-Thera,中国-广东-广州,China-Guangdong-Guangzhou,生物医药,Biotech,家族,100.0,-23%,1550.0,2021-10-27
699,New,张洪本,Richard H. P. Chang,75,中国-台湾,China-Taiwan,先生,https://res.hurun.cn/default/icon_men.jpg,日月光,ASE,中国-台湾-高雄,China-Taiwan-Kaoxiong,工业品、房地产,Industrial Products,未知,100.0,New,1550.0,2021-10-27
699,New,张华,Zhang Hua,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,福华,Fuhua,中国-四川-成都,China-Sichuan-Chengdu,农业、造纸、矿产,"Agriculture, Paper",未知,100.0,New,1550.0,2021-10-27
699,17,张曦,Zhang Xi,47,,,先生,https://res.hurun.cn/default/icon_men.jpg,国瓷材料,Sinocera,中国-山东-东营,China-Shandong-Dongying,陶瓷,Manufacturing,未知,100.0,20%,1550.0,2021-10-27
699,New,张兴礼,Zhang Xingmin,64,中国-重庆,China-Chongqing,先生,https://res.hurun.cn/default/icon_men.jpg,小康控股,Xiaokang ,中国-重庆,China-Chongqing,汽车、汽车零配件,"Cars, automobile parts ",未知,100.0,New,1550.0,2021-10-27
699,New,张兴明,Zhang Xingli,64,中国-重庆,China-Chongqing,先生,https://res.hurun.cn/default/icon_men.jpg,小康控股,Xiaokang ,中国-重庆,China-Chongqing,汽车、汽车零配件,"Cars, automobile parts ",未知,100.0,New,1550.0,2021-10-27
699,76,章小华,Zhang Xiaohua,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,红狮控股,Hongshi,中国-浙江-金华,China-Zhejiang-Jinhua,水泥,Cement,未知,100.0,33%,1550.0,2021-10-27
699,-138,郑树生,Zheng Shusheng,55,中国-浙江-衢州,China - Zhejiang - Zhangzhou,先生,https://res.hurun.cn/default/icon_men.jpg,迪普科技,DP tech,中国-浙江-杭州,China-Zhejiang-Hangzhou,软件开发,Software,未知,100.0,-5%,1550.0,2021-10-27
699,New,周敬良,Zhou Jingliang,71,中国-海南-海口,China-Hainan-Haikou,先生,https://res.hurun.cn/default/icon_men.jpg,景田,Ganten,中国-广东-深圳,China-Guangdong-Shenzhen,饮料,Food & Beverages,未知,100.0,New,1550.0,2021-10-27
699,1135,周贤海,Zhou Xianhai,60,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,鼎胜实业,Dingsheng New Material,中国-浙江-杭州,China-Zhejiang-Hangzhou,有色金属制品,Non-ferrous metals,夫妇,100.0,245%,1550.0,2021-10-27
699,-73,朱敏,Zhu Min,73,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/default/icon_men.jpg,赛伯乐,Cybernaut,中国-浙江-杭州,China-Zhejiang-Hangzhou,投资,Investments ,夫妇,100.0,5%,1550.0,2021-10-27
758,778,覃九三,Qin Jiusan,54,,,先生,https://res.hurun.cn/default/icon_men.jpg,新宙邦,Capchem,中国-广东-深圳,China-Guangdong-Shenzhen,电子化学品,Specialty Chemicals,夫妇,98.0,180%,1520.0,2021-10-27
759,-165,陈刚,Chen Gang,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,爱旭股份,Aikosolar,中国-上海-浦东,China-Shanghai-Pudong,太阳能电池,Solar cell,未知,97.0,-3%,1510.0,2021-10-27
759,-134,李小明,Li Xiaoming,60,中国-湖南-湘潭,China-Hunan-Xiangtan,先生,https://res.hurun.cn/default/icon_men.jpg,帝海,Desea,中国-北京,China-Beijing,房地产,Real Estate,未知,97.0,2%,1510.0,2021-10-27
759,-293,周富裕,Zhou Fuyu,46,中国-湖北-武汉,China -Hubei-Wuhan,先生,https://res.hurun.cn/default/icon_men.jpg,周黑鸭,Zhou Heiya,中国-湖北-武汉,China-Hubei-Wuhan,食品,Food & Beverage,夫妇,97.0,-19%,1510.0,2021-10-27
762,1099,刘爱森,Liu Aisen,49,,,先生,https://res.hurun.cn/default/icon_men.jpg,森特股份,Center International,中国-北京,China-Beijing,建筑装饰,Architectural Decoration,夫妇,96.0,243%,1490.0,2021-10-27
762,-75,毛中吾,Mao Zhongwu,59,中国-湖南,China-Hunan,先生,https://res.hurun.cn/default/icon_men.jpg,三一,Sany,中国-北京,China-Beijing,重型机械,Heavy Machinery,未知,96.0,13%,1490.0,2021-10-27
762,-265,孙喜双,Sun Xishuang,68,中国-吉林,China- Jilin,先生,https://res.hurun.cn/photo/000314_Sun_Xishuang.jpg,一方,Yifang,中国-北京,China-Beijing,房地产、投资,"Real Estate, Investments",家族,96.0,-17%,1490.0,2021-10-27
762,-75,向文波,Xiang Wenbo,59,中国-湖南-益阳,China-Hunan-Yiyang,先生,https://res.hurun.cn/default/icon_men.jpg,三一,Sany,中国-北京,China-Beijing,重型机械,Heavy Machinery,未知,96.0,13%,1490.0,2021-10-27
766,-79,艾立华,Ai Lihua,63,中国-湖南-益阳,China-Hunan-Yiyang,先生,https://res.hurun.cn/default/icon_men.jpg,艾华,Aishi,中国-湖南-益阳,China-Hunan-Yiyang,电容器制造,Manufacturing,家族,95.0,12%,1480.0,2021-10-27
766,939,安旭,An Xu,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,斯莱克,SLAC,中国-江苏-苏州,China-Jiangsu-Suzhou,包装材料,Packaging materials,未知,95.0,206%,1480.0,2021-10-27
766,-243,蔡东青,Cai Dongqing,52,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,奥飞娱乐,Alpha Animation,中国-广东-汕头,China-Guangdong-Shantou,动漫,Media & Entertainment,家族,95.0,-14%,1480.0,2021-10-27
766,-428,曾开天,Zeng Kaitian,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,三七互娱,37 Interactive Entertainment,中国-安徽-芜湖,China-Anhui-Wuhu,网络游戏,Network game,未知,95.0,-41%,1480.0,2021-10-27
766,New,陈汝华,Chen Ruhua,未知,中国-山东-东营,China-Shandong-Dongying,先生,https://res.hurun.cn/default/icon_men.jpg,富海集团,Fuhai,中国-山东-东营,China-Shandong-Dongying,化工,Chemicals,未知,95.0,New,1480.0,2021-10-27
766,-206,陈雪玲,Chen Xueling,54,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,晨光文具,M&G Stationery,中国-上海-奉贤,China-Shanghai-Fengxian,文具用品制造,Stationery,未知,95.0,-10%,1480.0,2021-10-27
766,-243,陈卓贤,Chen Zhuoxian,54,中国-广东-中山,China-Guangdong-Zhongshan,先生,https://res.hurun.cn/default/icon_men.jpg,雅居乐,Agile ,中国-广东-广州,China-Guangdong-Guangzhou,房地产,Real Estate,家族,95.0,-14%,1480.0,2021-10-27
766,-85,何旗,He Qi,39,,,先生,https://res.hurun.cn/default/icon_men.jpg,均和,Junhe,中国-上海-浦东,China-Shanghai-Pudong,钢铁贸易,Steel trade,未知,95.0,9%,1480.0,2021-10-27
766,-172,黄仕坤,Huang Shikun,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,金雅福,Kinghood,中国-广东-深圳,China-Guangdong-Shenzhen,金饰,Gold Jewelry,未知,95.0,-5%,1480.0,2021-10-27
766,New,柯为湘,Or Wai Sheun,70,中国-广东-潮州,China-Guangdong-Chaozhou,先生,https://res.hurun.cn/default/icon_men.jpg,保利达,Polytec Asset,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,95.0,New,1480.0,2021-10-27
766,New,李文斌,Lee Man Bun,40,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,理文造纸,Lee & Man,中国-香港,China-Hong Kong,浆纸,Pulp & Paper,夫妇,95.0,New,1480.0,2021-10-27
766,New,李文俊,Lee Man Chun,50,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,理文造纸,Lee & Man,中国-香港,China-Hong Kong,浆纸,Pulp & Paper,未知,95.0,New,1480.0,2021-10-27
766,-300,林峰,Lin Feng,45,,,先生,https://res.hurun.cn/default/icon_men.jpg,旭辉,CIFI,中国-上海-闵行,China-Shanghai-Yihang,房地产,Real estate,家族,95.0,-21%,1480.0,2021-10-27
766,-480,林志雄,Lin Zhixiong,48,中国-福建,China-Fujian,先生,https://res.hurun.cn/default/icon_men.jpg,大博医疗,Double Medical Technology Inc,中国-福建-厦门,China-Fujian-Xiamen,医疗器械,Medical devices ,未知,95.0,-49%,1480.0,2021-10-27
766,-109,刘振东,Liu Zhendong,50,中国-河北-唐山,China-Hebei-Tangshan,先生,https://res.hurun.cn/default/icon_men.jpg,联东,Liando,中国-北京,China-Beijing,房地产,Real Estate,未知,95.0,6%,1480.0,2021-10-27
766,61,卢荣富,Lu Rongfu,50,,,先生,https://res.hurun.cn/default/icon_men.jpg,亿联网络,Yealink,中国-福建-厦门,China-Fujian-Xiamen,通信,Communication,未知,95.0,36%,1480.0,2021-10-27
766,-243,陆克平,Lu Keping,77,中国-江苏-无锡,China-Jiangsu-Wuxi,先生,https://res.hurun.cn/default/icon_men.jpg,江苏阳光,Jiangsu Sunshine,中国-江苏-无锡,China-Jiangsu-Wuxi,服装纺织、生物医药、投资,"Textiles, biomedical, investments ",夫妇,95.0,-14%,1480.0,2021-10-27
766,3,裘国根,Qiu Guogen,52,中国-浙江-绍兴,China-Zhejiang-Shaoxing,先生,https://res.hurun.cn/default/icon_men.jpg,重阳投资,Chongyang ,中国-上海-浦东,China-Shanghai-Pudong,投资,Investments ,夫妇,95.0,25%,1480.0,2021-10-27
766,1257,施清岛,Shi Qingdao,56,,,先生,https://res.hurun.cn/default/icon_men.jpg,台华新材,Taihua New Material Co,中国-浙江-嘉兴,China-Zhejiang-Jiaxing,纺织材料,Textiles,家族,95.0,280%,1480.0,2021-10-27
766,New,王恒,Roger Wang Hung,73,中国-广东-广州,China-Guangdong-Guangzhou,先生,https://res.hurun.cn/default/icon_men.jpg,金鹰,Golden Eagle ,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,Retail,家族,95.0,New,1480.0,2021-10-27
766,-480,吴俊保,Wu Junbao,55,,,先生,https://res.hurun.cn/photo/000252_Wu_Junbao.jpg,中国东方教育,China East education,中国-安徽-合肥,China-Anhui-Hefei,教育,Education,未知,95.0,-49%,1480.0,2021-10-27
766,8,夏鼎湖,Xia Dinghu,77,中国-安徽,China-Anhui,先生,https://res.hurun.cn/default/icon_men.jpg,中鼎,Zhongding,中国-安徽-宣城,China-Anhui-Xuancheng,橡胶和塑料制品业,Rubber and plastic,父子,95.0,27%,1480.0,2021-10-27
766,-172,徐万茂,Xu Wanmao,76,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/photo/000522_Xu_Wanmao.jpg,华茂,Huamao ,中国-浙江-宁波,China-Zhejiang-Ningbo,文具、教育、房地产、金融,"Stationery, education, real estate, financial ",家族,95.0,-5%,1480.0,2021-10-27
766,8,叶标,Ye Biao,51,,,先生,https://res.hurun.cn/default/icon_men.jpg,浙富控股,Zhefu Holding,中国-浙江-杭州,China-Zhejiang-Hangzhou,清洁能源装备,Hydropower equipment ,夫妇,95.0,27%,1480.0,2021-10-27
766,587,尤小华,You Xiaohua,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,华峰,Huafeng ,中国-浙江-温州,China-Zhejiang-Wenzhou,化工、铝业、投资,"Chemical, aluminum, investments",未知,95.0,132%,1480.0,2021-10-27
766,686,张江平,Zhang Jiangping,54,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/default/icon_men.jpg,太平鸟,Peacebird,中国-浙江-宁波,China-Zhejiang-Ningbo,服装、家纺、贸易,"Apparel, Textiles, Trade",未知,95.0,150%,1480.0,2021-10-27
766,-454,张轩松,Zhang Xuansong,50,中国-福建-福州,China-Fujian-Fuzhou,先生,https://res.hurun.cn/photo/000213_Zhang_Xuansong.jpg,永辉,Yonghui Superstores,中国-福建-福州,China-Fujian-Fuzhou,超市零售,Supermarket retailing ,未知,95.0,-44%,1480.0,2021-10-27
766,New,章方良,Zhang Fangliang,57,,,先生,https://res.hurun.cn/default/icon_men.jpg,金斯瑞,Genscript,中国-江苏-南京,China-Jiangsu-Nanjing,生物科技,Healthtech,家族,95.0,New,1480.0,2021-10-27
766,262,钟培峰,Zhong Peifeng,58,,,先生,https://res.hurun.cn/default/icon_men.jpg,晶晨股份,Amlogic,中国-上海-浦东,China-Shanghai-Pudong,电子,Semiconductor,家族,95.0,73%,1480.0,2021-10-27
766,-109,周镇科,Zhou Zhenke,46,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,大晟文化,Dasheng Times Cultural ,中国-广东-深圳,China-Guangdong-Shenzhen,文化娱乐,Media & Entertainment,未知,95.0,6%,1480.0,2021-10-27
796,-109,应书岭,Ying Shuling,40,中国-上海,China-Shanghai,先生,https://res.hurun.cn/default/icon_men.jpg,英雄互娱,Yingxiong,中国-北京,China-Beijing,电竞游戏,E-sports Game,未知,93.0,9%,1440.0,2021-10-27
796,-202,张大中,Zhang Dazhong,73,中国-北京,China-Beijing,先生,https://res.hurun.cn/default/icon_men.jpg,大中,Dazhong,中国-北京,China-Beijing,投资,Investments,未知,93.0,-7%,1440.0,2021-10-27
